,CBSA,POPESTIMATE,variable,value,age,sex,GEOID,NAME,INTPTLAT,INTPTLONG
50,10420,700015,AGE4044_FEMALE,20670,40-44,FEMALE,10420,"Akron, OH",41.146639,-81.35011
51,10420,700015,AGE4549_TOTAL,39544,45-49,TOTAL,10420,"Akron, OH",41.146639,-81.35011
52,10420,700015,AGE4549_MALE,19636,45-49,MALE,10420,"Akron, OH",41.146639,-81.35011
53,10420,700015,AGE4549_FEMALE,19908,45-49,FEMALE,10420,"Akron, OH",41.146639,-81.35011
54,10420,700015,AGE5054_TOTAL,45974,50-54,TOTAL,10420,"Akron, OH",41.146639,-81.35011
55,10420,700015,AGE5054_MALE,22710,50-54,MALE,10420,"Akron, OH",41.146639,-81.35011
56,10420,700015,AGE5054_FEMALE,23264,50-54,FEMALE,10420,"Akron, OH",41.146639,-81.35011
57,10420,700015,AGE5559_TOTAL,48825,55-59,TOTAL,10420,"Akron, OH",41.146639,-81.35011
58,10420,700015,AGE5559_MALE,23838,55-59,MALE,10420,"Akron, OH",41.146639,-81.35011
59,10420,700015,AGE5559_FEMALE,24987,55-59,FEMALE,10420,"Akron, OH",41.146639,-81.35011
60,10420,700015,AGE6064_TOTAL,50464,60-64,TOTAL,10420,"Akron, OH",41.146639,-81.35011
61,10420,700015,AGE6064_MALE,24476,60-64,MALE,10420,"Akron, OH",41.146639,-81.35011
62,10420,700015,AGE6064_FEMALE,25988,60-64,FEMALE,10420,"Akron, OH",41.146639,-81.35011
63,10420,700015,AGE65PLUS_TOTAL,130359,65+,TOTAL,10420,"Akron, OH",41.146639,-81.35011
64,10420,700015,AGE65PLUS_MALE,58419,65+,MALE,10420,"Akron, OH",41.146639,-81.35011
65,10420,700015,AGE65PLUS_FEMALE,71940,65+,FEMALE,10420,"Akron, OH",41.146639,-81.35011
66,10500,147773,AGE1519_TOTAL,10926,15-19,TOTAL,10500,"Albany, GA",31.644686,-84.110718
67,10500,147773,AGE1519_MALE,5437,15-19,MALE,10500,"Albany, GA",31.644686,-84.110718
68,10500,147773,AGE1519_FEMALE,5489,15-19,FEMALE,10500,"Albany, GA",31.644686,-84.110718
69,10500,147773,AGE2024_TOTAL,10174,20-24,TOTAL,10500,"Albany, GA",31.644686,-84.110718
70,10500,147773,AGE2024_MALE,4924,20-24,MALE,10500,"Albany, GA",31.644686,-84.110718
71,10500,147773,AGE2024_FEMALE,5250,20-24,FEMALE,10500,"Albany, GA",31.644686,-84.110718
72,10500,147773,AGE2529_TOTAL,9265,25-29,TOTAL,10500,"Albany, GA",31.644686,-84.110718
73,10500,147773,AGE2529_MALE,4389,25-29,MALE,10500,"Albany, GA",31.644686,-84.110718
74,10500,147773,AGE2529_FEMALE,4876,25-29,FEMALE,10500,"Albany, GA",31.644686,-84.110718
75,10500,147773,AGE3034_TOTAL,9880,30-34,TOTAL,10500,"Albany, GA",31.644686,-84.110718
76,10500,147773,AGE3034_MALE,4647,30-34,MALE,10500,"Albany, GA",31.644686,-84.110718
77,10500,147773,AGE3034_FEMALE,5233,30-34,FEMALE,10500,"Albany, GA",31.644686,-84.110718
78,10500,147773,AGE3539_TOTAL,8995,35-39,TOTAL,10500,"Albany, GA",31.644686,-84.110718
79,10500,147773,AGE3539_MALE,4225,35-39,MALE,10500,"Albany, GA",31.644686,-84.110718
80,10500,147773,AGE3539_FEMALE,4770,35-39,FEMALE,10500,"Albany, GA",31.644686,-84.110718
81,10500,147773,AGE4044_TOTAL,8926,40-44,TOTAL,10500,"Albany, GA",31.644686,-84.110718
82,10500,147773,AGE4044_MALE,4191,40-44,MALE,10500,"Albany, GA",31.644686,-84.110718
83,10500,147773,AGE4044_FEMALE,4735,40-44,FEMALE,10500,"Albany, GA",31.644686,-84.110718
84,10500,147773,AGE4549_TOTAL,8543,45-49,TOTAL,10500,"Albany, GA",31.644686,-84.110718
85,10500,147773,AGE4549_MALE,4059,45-49,MALE,10500,"Albany, GA",31.644686,-84.110718
86,10500,147773,AGE4549_FEMALE,4484,45-49,FEMALE,10500,"Albany, GA",31.644686,-84.110718
87,10500,147773,AGE5054_TOTAL,8727,50-54,TOTAL,10500,"Albany, GA",31.644686,-84.110718
88,10500,147773,AGE5054_MALE,4140,50-54,MALE,10500,"Albany, GA",31.644686,-84.110718
89,10500,147773,AGE5054_FEMALE,4587,50-54,FEMALE,10500,"Albany, GA",31.644686,-84.110718
90,10500,147773,AGE5559_TOTAL,9233,55-59,TOTAL,10500,"Albany, GA",31.644686,-84.110718
91,10500,147773,AGE5559_MALE,4238,55-59,MALE,10500,"Albany, GA",31.644686,-84.110718
92,10500,147773,AGE5559_FEMALE,4995,55-59,FEMALE,10500,"Albany, GA",31.644686,-84.110718
93,10500,147773,AGE6064_TOTAL,9232,60-64,TOTAL,10500,"Albany, GA",31.644686,-84.110718
