,USPS,NAME,INTPTLAT,INTPTLONG,POPESTIMATE
119,AR,Carroll County,36.33737,-93.540972,28435
120,AR,Chicot County,33.267139,-91.297158,10019
121,AR,Clark County,34.053316,-93.176208,21321
122,AR,Clay County,36.367302,-90.418704,14350
123,AR,Cleburne County,35.566315,-92.05995,25015
124,AR,Cleveland County,33.893201,-92.188714,7514
125,AR,Columbia County,33.223038,-93.232843,22672
126,AR,Conway County,35.265702,-92.689248,20873
127,AR,Craighead County,35.827729,-90.631421,112218
128,AR,Crawford County,35.583011,-94.236219,60378
129,AR,Crittenden County,35.197559,-90.30512,47525
130,AR,Cross County,35.285692,-90.763984,16681
131,AR,Dallas County,33.967823,-92.653999,6308
132,AR,Desha County,33.828752,-91.244103,11090
133,AR,Drew County,33.587242,-91.722778,17110
134,AR,Faulkner County,35.146548,-92.336928,125106
135,AR,Franklin County,35.508558,-93.887665,17173
136,AR,Fulton County,36.381322,-91.819285,12145
137,AR,Garland County,34.578852,-93.146932,100330
138,AR,Grant County,34.285568,-92.422979,18090
139,AR,Greene County,36.120607,-90.566346,46317
140,AR,Hempstead County,33.735953,-93.664355,19694
141,AR,Hot Spring County,34.315177,-92.944147,33148
142,AR,Howard County,34.083064,-93.990931,12698
143,AR,Independence County,35.737499,-91.559942,37723
144,AR,Izard County,36.094879,-91.913625,13911
145,AR,Jackson County,35.596467,-91.223205,16811
146,AR,Jefferson County,34.277239,-91.929673,65861
147,AR,Johnson County,35.573359,-93.466322,25845
148,AR,Lafayette County,33.240629,-93.611514,6163
149,AR,Lawrence County,36.041098,-91.101153,16292
150,AR,Lee County,34.779505,-90.779717,8619
151,AR,Lincoln County,33.956385,-91.742355,13037
152,AR,Little River County,33.701941,-94.236287,11944
153,AR,Logan County,35.218654,-93.72091,21215
154,AR,Lonoke County,34.755114,-91.894132,74722
155,AR,Madison County,36.012545,-93.724053,16960
156,AR,Marion County,36.266664,-92.678577,16978
157,AR,Miller County,33.305505,-93.901502,42649
158,AR,Mississippi County,35.766944,-90.052207,39661
159,AR,Monroe County,34.679512,-91.20331,6683
160,AR,Montgomery County,34.545656,-93.664153,8611
161,AR,Nevada County,33.666699,-93.305072,8187
162,AR,Newton County,35.910742,-93.215898,7204
163,AR,Ouachita County,33.591168,-92.878413,22306
164,AR,Perry County,34.946363,-92.926877,9964
165,AR,Phillips County,34.423687,-90.855593,15906
166,AR,Pike County,34.158191,-93.658659,10066
167,AR,Poinsett County,35.56887,-90.681104,22660
168,AR,Polk County,34.490915,-94.230884,19353
169,AR,Pope County,35.456557,-93.026818,63789
170,AR,Prairie County,34.831116,-91.55362,8135
