,CBSA,AGE,FEMALE,MALE,TOTAL,NAME,INTPTLAT,INTPTLONG,POPESTIMATE
66,10460,15-19,1989,2151,4140,"Alamogordo, NM",32.615599,-105.751308,68537
67,10460,20-24,2138,3232,5370,"Alamogordo, NM",32.615599,-105.751308,68537
68,10460,25-29,2207,3036,5243,"Alamogordo, NM",32.615599,-105.751308,68537
69,10460,30-34,2262,2827,5089,"Alamogordo, NM",32.615599,-105.751308,68537
70,10460,35-39,2163,2467,4630,"Alamogordo, NM",32.615599,-105.751308,68537
71,10460,40-44,1836,1982,3818,"Alamogordo, NM",32.615599,-105.751308,68537
72,10460,45-49,1641,1687,3328,"Alamogordo, NM",32.615599,-105.751308,68537
73,10460,50-54,1759,1708,3467,"Alamogordo, NM",32.615599,-105.751308,68537
74,10460,55-59,2034,1916,3950,"Alamogordo, NM",32.615599,-105.751308,68537
75,10460,60-64,2205,2165,4370,"Alamogordo, NM",32.615599,-105.751308,68537
76,10460,65+,6362,5770,12132,"Alamogordo, NM",32.615599,-105.751308,68537
77,10500,15-19,5489,5437,10926,"Albany, GA",31.644686,-84.110718,147773
78,10500,20-24,5250,4924,10174,"Albany, GA",31.644686,-84.110718,147773
79,10500,25-29,4876,4389,9265,"Albany, GA",31.644686,-84.110718,147773
80,10500,30-34,5233,4647,9880,"Albany, GA",31.644686,-84.110718,147773
81,10500,35-39,4770,4225,8995,"Albany, GA",31.644686,-84.110718,147773
82,10500,40-44,4735,4191,8926,"Albany, GA",31.644686,-84.110718,147773
83,10500,45-49,4484,4059,8543,"Albany, GA",31.644686,-84.110718,147773
84,10500,50-54,4587,4140,8727,"Albany, GA",31.644686,-84.110718,147773
85,10500,55-59,4995,4238,9233,"Albany, GA",31.644686,-84.110718,147773
86,10500,60-64,4984,4248,9232,"Albany, GA",31.644686,-84.110718,147773
87,10500,65+,14046,10735,24781,"Albany, GA",31.644686,-84.110718,147773
88,10540,15-19,3648,3999,7647,"Albany-Lebanon, OR",44.488898,-122.537208,129839
89,10540,20-24,3634,3619,7253,"Albany-Lebanon, OR",44.488898,-122.537208,129839
90,10540,25-29,4281,4392,8673,"Albany-Lebanon, OR",44.488898,-122.537208,129839
91,10540,30-34,4551,4515,9066,"Albany-Lebanon, OR",44.488898,-122.537208,129839
92,10540,35-39,4305,4362,8667,"Albany-Lebanon, OR",44.488898,-122.537208,129839
93,10540,40-44,3915,3938,7853,"Albany-Lebanon, OR",44.488898,-122.537208,129839
94,10540,45-49,3566,3659,7225,"Albany-Lebanon, OR",44.488898,-122.537208,129839
95,10540,50-54,3796,3909,7705,"Albany-Lebanon, OR",44.488898,-122.537208,129839
96,10540,55-59,4204,4051,8255,"Albany-Lebanon, OR",44.488898,-122.537208,129839
97,10540,60-64,4470,4225,8695,"Albany-Lebanon, OR",44.488898,-122.537208,129839
98,10540,65+,13211,11658,24869,"Albany-Lebanon, OR",44.488898,-122.537208,129839
99,10580,15-19,28898,29529,58427,"Albany-Schenectady-Troy, NY",42.78792,-73.942348,899286
100,10580,20-24,33629,33744,67373,"Albany-Schenectady-Troy, NY",42.78792,-73.942348,899286
101,10580,25-29,28880,29416,58296,"Albany-Schenectady-Troy, NY",42.78792,-73.942348,899286
102,10580,30-34,29317,29451,58768,"Albany-Schenectady-Troy, NY",42.78792,-73.942348,899286
103,10580,35-39,28999,29114,58113,"Albany-Schenectady-Troy, NY",42.78792,-73.942348,899286
104,10580,40-44,27242,27213,54455,"Albany-Schenectady-Troy, NY",42.78792,-73.942348,899286
105,10580,45-49,25706,25208,50914,"Albany-Schenectady-Troy, NY",42.78792,-73.942348,899286
106,10580,50-54,29339,29336,58675,"Albany-Schenectady-Troy, NY",42.78792,-73.942348,899286
107,10580,55-59,32700,30951,63651,"Albany-Schenectady-Troy, NY",42.78792,-73.942348,899286
108,10580,60-64,31991,30447,62438,"Albany-Schenectady-Troy, NY",42.78792,-73.942348,899286
109,10580,65+,91177,74812,165989,"Albany-Schenectady-Troy, NY",42.78792,-73.942348,899286
110,10620,15-19,1920,1945,3865,"Albemarle, NC",35.310449,-80.254374,63425
111,10620,20-24,1710,1926,3636,"Albemarle, NC",35.310449,-80.254374,63425
112,10620,25-29,1937,2043,3980,"Albemarle, NC",35.310449,-80.254374,63425
113,10620,30-34,2018,2210,4228,"Albemarle, NC",35.310449,-80.254374,63425
114,10620,35-39,1873,1928,3801,"Albemarle, NC",35.310449,-80.254374,63425
